ID,SMILES
0,C(COC[*:2])OCC[*:1]
1,C(COCCOC[*:2])OCCOCC[*:1]
2,O=C(COCCOCC[*:1])NCC[*:2]
3,O=C(COCCOCCOCCOCC[*:1])NCC[*:2]
4,O=C(COCCOCC[*:1])[*:2]
5,O=C(COCCOCCOCCOCC[*:1])[*:2]
6,C(COCCOCC[*:1])OCCOCCOC[*:2]
7,C(CCOCCOC[*:2])CC[*:1]
8,C(COCC[*:1])OCCOC[*:2]
9,O=C(COCCOCCOC[*:2])[*:1]
10,C(COCC[*:2])OCC[*:1]
11,C(COCCOCC[*:2])OCCOCC[*:1]
12,C(C[*:1])OCC[*:2]
13,C(COCC[*:1])OCCOCC[*:2]
14,C(CC[*:1])CC[*:2]
15,C(CCOCC[*:2])CC[*:1]
16,O=C(COCC[*:2])[*:1]
17,O=C(COCCOCC[*:2])[*:1]
18,O=C(COCCOCCOCC[*:2])[*:1]
19,O=C(CCCC[*:2])[*:1]
20,O=C(CCCCOCC[*:2])[*:1]
21,O=C(CO[*:2])[*:1]
22,C(CC[*:2])C[*:1]
23,C(C[*:2])[*:1]
24,C(C[*:1])C[*:2]
25,C(CCC[*:2])CC[*:1]
26,C(CCC[*:1])CCC[*:2]
27,C(#C[*:2])CCC[*:1]
28,C(#C[*:2])CC[*:1]
29,C(#C[*:2])COCCOCCOCC[*:1]
30,C(#C[*:2])CCCCCC[*:1]
31,C(CCCC[*:2])CCC[*:1]
32,C(CCCC[*:1])CCCC[*:2]
33,C(CCOC[*:2])CC[*:1]
34,C(CN1CCC(CC[*:1])CC1)C[*:2]
35,C(CN1CCN(CC[*:1])CC1)C[*:2]
36,C(#Cc1cnn(CC[*:2])c1)CCC[*:1]
37,C(#Cc1cnn(C[*:2])c1)CC[*:1]
38,c1nn(C[*:2])cc1CCCC[*:1]
39,C(CCCCC[*:2])CCCC[*:1]
40,C(CCCCC[*:1])CCCCC[*:2]
41,C(#C[*:1])c1ccc(CCCCCC[*:2])nc1
42,C(#C[*:1])c1ccc(N2CCN(CCC[*:2])CC2)nc1
43,C(#C[*:1])c1ccc(N2CCN(CCCC[*:2])CC2)nc1
44,C(#C[*:1])c1ccc(N2CCN(CC[*:2])CC2)nc1
45,C(#C[*:1])c1ccc(N2CCN(C[*:2])CC2)nc1
46,C(#C[*:1])c1ccc(N2CCN([*:2])CC2)nc1
47,C(#C[*:1])C1CCN(C2CCN([*:2])CC2)CC1
48,O=C(NCCCCCCCCC[*:2])[*:1]
49,O=C(NCCCCCCCCCC[*:2])[*:1]
50,O=C(CO[*:2])NCCCC[*:1]
51,O=C(C[*:2])NCCCC[*:1]
52,C(CCCO[*:2])CCC[*:1]
53,C(COCC[*:1])C[*:2]
54,O=C(NCCCCC[*:2])[*:1]
55,c1c(CO[*:2])nnn1CCN[*:1]
56,c1c(COCCO[*:2])nnn1CCN[*:1]
57,c1c(COCCOCCO[*:2])nnn1CCN[*:1]
58,c1c(COCCOCCOCCO[*:2])nnn1CCN[*:1]
59,c1c(COCCOCCOCCOCCO[*:2])nnn1CCN[*:1]
60,c1c(COC[*:2])nnn1CCN[*:1]
61,c1c(COCCOC[*:2])nnn1CCN[*:1]
62,c1c(COCCOCCOC[*:2])nnn1CCN[*:1]
63,c1c(COCCOCCOCCOC[*:2])nnn1CCN[*:1]
64,c1c(COCCOCCOCCOCCOC[*:2])nnn1CCN[*:1]
65,C(O[*:2])[*:1]
66,C(C[*:1])N[*:2]
67,O=C(CC[*:2])NCCOCCOCCOCC[*:1]
68,O=C(C[*:2])NCCOCCOCCOCCOCC[*:1]
69,c1c(CCC[*:1])nnn1CCOCCOCCOCCOCC[*:2]
70,O=C(C[*:2])NCCOCCOCCOCCOCCn1cc(CCC[*:1])nn1
71,C(CC[*:2])COCCOCCOCC[*:1]
72,C(CCC[*:1])CCOCCCCCOCCCC[*:2]
73,C(CCCOCCCCC[*:2])CCOCCCCCC[*:1]
74,C(CCOCCCCOCCCCOCCCC[*:1])CC[*:2]
75,C(CCC[*:1])CCOCCOCCOCCOCCOCCOCCCCC[*:2]
76,C(CCC[*:1])CCOCCCCOCCCCOCCCCOCCCCC[*:2]
77,C(COCCOCC[*:2])C[*:1]
78,C(COCCC[*:1])COCC[*:2]
79,C(CCOC[*:2])COCCCC[*:1]
80,C(CC[*:1])COCCCC[*:2]
81,C(COCCOCCC[*:2])C[*:1]
82,C(COCCC[*:1])COCCC[*:2]
83,O=C(C[*:1])NCCCC[*:2]
84,O=C(C[*:1])NCCCCCCCC[*:2]
85,O=C(CCCCC[*:1])[*:2]
86,C(COCC[*:1])OCCO[*:2]
87,O=C(C[*:1])NCCCOCCOCCOCCC[*:2]
88,C(CCN[*:1])CC[*:2]
89,C(C[*:1])OC[*:2]
90,O=C(COCCOCCNC(=O)C[*:1])NCCOCCO[*:2]
91,O=C(C[*:1])NCCOCCO[*:2]
92,O=C(COCCOCCNC(=O)C[*:1])NCCOCCOCC(=O)NCCOCCO[*:2]
93,C(COCCOCCOCCN[*:2])N[*:1]
94,c1cc(OCCCOCCCCOC[*:2])ccc1N[*:1]
95,C(C[*:2])O[*:1]
96,C(C[*:2])OC[*:1]
97,C(CO[*:1])OCC[*:2]
98,C(COC[*:1])OCC[*:2]
99,C(COCC[*:2])OCCO[*:1]
100,C(COCCO[*:1])OCCOCC[*:2]
101,C(COCCOC[*:1])OCCOCC[*:2]
102,C(COCCOCC[*:2])OCCOCCO[*:1]
103,C(COCCOCC[*:2])OCCOCCOC[*:1]
104,C(COCCOCCO[*:1])OCCOCCOCC[*:2]
105,C(COCCOCCOC[*:1])OCCOCCOCC[*:2]
106,C(COCCOCCO[*:2])OCCOCCO[*:1]
107,C(COCCOCCO[*:1])OCCOCCOCCO[*:2]
108,O=C(C[*:1])NCCOCCOCCOCCOCCOCC[*:2]
109,O=C(C[*:1])NCC[*:2]
110,c1c(C[*:2])nnn1CC[*:1]
111,c1c(C[*:2])nnn1CCOCC[*:1]
112,c1c(C[*:2])nnn1CCOCCOCC[*:1]
113,c1c(C[*:2])nnn1CCOCCOCCOCC[*:1]
114,C(COCCOCCOC[*:2])N[*:1]
